
logIndex,logTime,ΔlogTime[ms],length,timeStamp[s],ΔtimeStamp[ms],seq,ID,msgcnt,Δmsgcnt,LaneID,分割数,分割番号,Number of Array,Instance ID,Is Retransmission,Is Update,Path Id,Offset[cm],End Offset[cm],End Offset Final,Confidence[%],Standard Deviation,Lane Number,Profile Type,Available,Profile Value
663654,2025-01-31 03:36:02.085774,0.0,1316,8453.719873,0.0,18397,0x10a,14373,1,5130010000000273798,3,1,10
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,=L5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,=M5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
,,,,,,,,,,,,,=N5
736455,2025-01-31 03:36:04.282711,2193.858,1316,8455.916716,2193.31,18419,0x10a,14376,1,5130010000000273798,3,1,10
736461,2025-01-31 03:36:04.282844,0.133,1316,8455.917732,1.016,18419,0x10a,14377,1,5130010000000273798,3,2,10
736487,2025-01-31 03:36:04.284718,1.874,1278,8455.919114,1.382,18419,0x10a,14378,1,5130010000000273798,3,3,10,0x32bab,False,False,210,3250060,3258057,True,100,0,3,0x100d,1,BASE_POINT,"   *緯度[deg]: 36.041404799567864
   *経度[deg]: 139.59546830030052
   *楕円体高[cm]: 5975"
,,,,,,,,,,,,,,0x32bac,False,False,210,3250060,3258057,True,100,0,3,0x1000,1,レーンリンク情報,   *レーン情報数: 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,レーン情報(1),"   *レーンID: 5130010000000273798
   *左側車線のレーンID: 0
   *右側車線のレーンID: 5130010000000273791
   *レーン付加属性フラグ: 129
   *レーン属性オプションフラグ : 107
   *距離[cm]: 7997
   *レーンNW種別: 1
   *車線属性種別 : 2
   *レーン番号: 1
   *最高速度情報[kmh]: 100
   *幅員情報[cm]: 365
   *鮮度情報チェック状態: 1
   *鮮度情報: 1
   *中央分離帯種別: 1
   *精度管理フラグ: 1
   *工事開始日: 4294967295
   *工事開始時間: 65535
   *工事種別: 0
   *機能制限フラグ３: 0
   *機能制限フラグ２: 0
   *機能制限フラグ１: 0
   *経路変換状態: 0
   *SDLinkage有無: 有効
   *ADAS2.0属性数: 1
   *(1) 始点リンクフラグ: 0x1
   *(1) 道路種別コード: 0x1e
   *(1) リンク種別: 8193
   *(1) リンク属性オプションフラグ: 0x4600
   *(1) リンク付加属性フラグ: 0xa
   *信号機情報ID数: 0
   *道路標示情報ID数: 0
   *標識情報ID数: 1
   *(1) 標識情報ID: 0x18450b9910014b97
   *停止線情報ID数: 0
   *ライン型地物ID数: 4
   *(1) ライン型地物ID: 0x18450b9870014b94
   *(1) 位置種別: 1
   *(2) ライン型地物ID: 0x18450b9870014b93
   *(2) 位置種別: 2
   *(3) ライン型地物ID: 0x18450b9890014b95
   *(3) 位置種別: 1
   *(4) ライン型地物ID: 0x18450b9890014b89
   *(4) 位置種別: 2
   *前方レーンID数: 1
   *(1) 前方レーンID: 5130010000000273794
   *後方レーンID数: 1
   *(1) 後方レーンID: 5130010000000273781
",...
,,,,,,,,,,,,,,,,,,,,,,,,,,,レーン情報(2),"   *レーンID: 5130010000000273791
   *左側車線のレーンID: 5130010000000273798
   *右側車線のレーンID: 0
   *レーン付加属性フラグ: 10
   *レーン属性オプションフラグ : 107
   *距離[cm]: 7999
   *レーンNW種別: 1
   *車線属性種別 : 1
   *レーン番号: 2
   *最高速度情報[kmh]: 100
   *幅員情報[cm]: 359
   *鮮度情報チェック状態: 1
   *鮮度情報: 1
   *中央分離帯種別: 1
   *精度管理フラグ: 1
   *工事開始日: 4294967295
   *工事開始時間: 65535
   *工事種別: 0
   *機能制限フラグ３: 0
   *機能制限フラグ２: 0
   *機能制限フラグ１: 0
   *経路変換状態: 0
   *SDLinkage有無: 有効
   *ADAS2.0属性数: 1
   *(1) 始点リンクフラグ: 0x1
   *(1) 道路種別コード: 0x1e
   *(1) リンク種別: 8193
   *(1) リンク属性オプションフラグ: 0x4600
   *(1) リンク付加属性フラグ: 0xa
   *信号機情報ID数: 0
   *道路標示情報ID数: 0
   *標識情報ID数: 1
   *(1) 標識情報ID: 0x18450b9910014b97
   *停止線情報ID数: 0
   *ライン型地物ID数: 4
   *(1) ライン型地物ID: 0x18450b9870014b93
   *(1) 位置種別: 1
   *(2) ライン型地物ID: 0x18450b9870014b88
   *(2) 位置種別: 2
   *(3) ライン型地物ID: 0x18450b9890014b95
   *(3) 位置種別: 1
   *(4) ライン型地物ID: 0x18450b9890014b89
   *(4) 位置種別: 2
   *前方レーンID数: 1
   *(1) 前方レーンID: 5130010000000273792
   *後方レーンID数: 1
   *(1) 後方レーンID: 5130010000000273782
",...
,,,,,,,,,,,,,,,,,,,,,,,,,,=AA293
,,,,,,,,,,,,,,,,,,,,,,,,,,=AA293
,,,,,,,,,,,,,,,,,,,,,,,,,,=AA293
,,,,,,,,,,,,,,=O293
,,,,,,,,,,,,,,=O293
,,,,,,,,,,,,,,=O293
,,,,,,,,,,,,,,,=P293
,,,,,,,,,,,,,,,=P293
,,,,,,,,,,,,,,,=P293
,,,,,,,,,,,,,,,,=Q293
,,,,,,,,,,,,,,,,=Q293
,,,,,,,,,,,,,,,,=Q293
,,,,,,,,,,,,,,,,,=R293
,,,,,,,,,,,,,,,,,=R293
,,,,,,,,,,,,,,,,,=R293
,,,,,,,,,,,,,,,,,,=S293
,,,,,,,,,,,,,,,,,,=S293
,,,,,,,,,,,,,,,,,,=S293
,,,,,,,,,,,,,,,,,,,=T293
